Account,BN Calls,BN Puts,BN Futures,MC Futures,PNL,M2M,Margin Available,Cash Balance
ER6842,0,0,-1050,-420,-456772,-126576,27426223,1347109
SW7768,-1190,0,-1050,-420,-230656,-104616,53195384,1994337
JK0143,0,0,-1260,140,-303733,-271147,16961892,1850651
OZS912,0,0,-840,-420,-435640,-209778,25021420,1287226
SLV491,0,0,-420,-420,-425059,-53769,18042165,972295
SS3084,0,0,-630,-420,-365309,-117425,18907431,1384004
XK4024,0,0,-210,-700,-268327,-16160,26379747,1553279
21,0,0,0,0,0,-8025,48253228,1016986
22,0,0,0,0,0,13390,14385253,398794
24,0,0,0,0,0,0,0,512743
