Strategy,Position,Trade Price,Trade Time,Eval Time,Status
N15SMA3H,-105,56903.8,2025-07-25 10:31:26.859903,2025-07-25 10:31:26.859903,-1
N30EMA1H,-105,56797.8,2025-07-25 10:46:53.241930,2025-07-25 10:46:53.241930,-1
N30SMA3H,-105,57049.0,2025-07-25 09:46:49.921157,2025-07-25 09:46:49.921157,-1
N30EMA2H,-105,56797.8,2025-07-25 10:46:53.999818,2025-07-25 10:46:53.999818,-1
N60EMA5H,-105,56710.0,2025-07-25 11:17:16.945114,2025-07-25 11:17:16.945114,-1
NDEMA2H,105,,,,
NDEMA9H,105,,,,
N60SMA3H,105,,,,
NDMACD1H,-105,,,,
NDSMA4H,-105,,,,
NDEMA3H,105,,,,
NDEMA13H,105,,,,
NDEMA5H,105,,,,
N15SMA2S,-105,56797.8,2025-07-25 10:46:25.902246,2025-07-25 10:46:25.902246,-1
N15SMA1S,-105,56903.8,2025-07-25 10:31:25.784912,2025-07-25 10:31:25.784912,-1
N30SMA5S,-105,56797.8,2025-07-25 10:46:51.131825,2025-07-25 10:46:51.131825,-1
N30EMA6S,-105,56797.8,2025-07-25 10:46:58.325225,2025-07-25 10:46:58.325225,-1
N15ST5S,-105,,,,
N60EMA4S,-105,56710.0,2025-07-25 11:17:16.207754,2025-07-25 11:17:16.207754,-1
N60SMA4S,-105,57015.0,2025-07-25 10:17:13.701176,2025-07-25 10:17:13.701176,-1
NDMACD2S,-105,,,,
N30ST4S,-105,,,,
N60SMA2S,-105,,,,
NDST3S,-105,,,,
NDSMA4S,105,,,,
NDEMA10S,105,,,,
N30SMA1M,0,,,,
N30EMA5M,-105,56797.8,2025-07-25 10:46:57.485333,2025-07-25 10:46:57.485333,-1
N30SMA5M,-105,56797.8,2025-07-25 10:46:52.086544,2025-07-25 10:46:52.086544,-1
N30SMA3M,-105,56797.8,2025-07-25 10:46:50.170080,2025-07-25 10:46:50.170080,-1
N30ST1M,-105,,,,
N60SMA3M,-105,56710.0,2025-07-25 11:17:14.131886,2025-07-25 11:17:14.131886,-1
N60SMA6M,105,,,,
NDSMA1M,105,,,,
N30SMA6M,105,,,,
NDEMA1M,105,,,,
N60SMA4M,105,,,,
NDST1M,-105,,,,
N60SMA1M,105,,,,
N15EMA1G,-105,56903.8,2025-07-25 10:31:28.572357,2025-07-25 10:31:28.572357,-1
N15SMA4G,-105,56903.8,2025-07-25 10:31:27.567083,2025-07-25 10:31:27.567083,-1
N60ST3G,-105,,,,
N30EMA4G,-105,56797.8,2025-07-25 10:46:56.711153,2025-07-25 10:46:56.711153,-1
N30EMA3G,-105,56797.8,2025-07-25 10:46:55.796044,2025-07-25 10:46:55.796044,-1
N30SMA1G,-105,57015.0,2025-07-25 10:16:49.776337,2025-07-25 10:16:49.776337,-1
N60ST4G,-105,,,,
N30SMA2G,-105,57015.0,2025-07-25 10:16:50.723900,2025-07-25 10:16:50.723900,-1
NDEMA6G,105,,,,
NDEMA4G,105,,,,
NDSMA3G,-105,,,,
NDSMA7G,105,,,,
NDEMA2G,105,,,,
N5ST2N,-105,56990.6,2025-07-25 09:21:04.937049,2025-07-25 09:21:04.937049,-1
N15ST2N,-105,,,,
N15ST6N,-105,,,,
N15ST1N,-105,56903.8,2025-07-25 10:31:30.439535,2025-07-25 10:31:30.439535,-1
N30EMA2N,-105,56797.8,2025-07-25 10:46:54.820198,2025-07-25 10:46:54.820198,-1
N60EMA2N,-105,56710.0,2025-07-25 11:17:15.478471,2025-07-25 11:17:15.478471,-1
N60SMA2N,-105,56710.0,2025-07-25 11:17:13.155326,2025-07-25 11:17:13.155326,-1
N15SMA5N,-105,56648.8,2025-07-25 12:01:26.387171,2025-07-25 12:01:26.387171,-1
N30ST3N,-105,56797.8,2025-07-25 10:47:01.738548,2025-07-25 10:47:01.738548,-1
NDSMA5N,-105,57115.4,2025-07-25 09:15:59.746554,2025-07-25 09:15:59.746554,-1
NDST2N,-105,,,,
NDEMA1N,105,,,,
NDEMA7N,105,,,,
N60EMA7H,105,,,,
N60EMA8S,105,,,,
N30EMA7M,-105,56797.8,2025-07-25 10:46:59.213821,2025-07-25 10:46:59.213821,-1
N30EMA8G,-105,56706.8,2025-07-25 11:46:51.933697,2025-07-25 11:46:51.933697,-1
NDEMA11N,105,,,,
P5N30EMA1G,-105,56797.8,2025-07-25 10:47:00.327029,2025-07-25 10:47:00.327029,-1
P5N60MACD1G,-105,,,,
P560EMA2G,-105,56710.0,2025-07-25 11:17:20.210883,2025-07-25 11:17:20.210883,-1
P5N30SMA2G,-105,57015.0,2025-07-25 10:16:52.241618,2025-07-25 10:16:52.241618,-1
P5N30ST2G,-105,,,,
P5N60EMA6G,-105,56710.0,2025-07-25 11:17:22.567582,2025-07-25 11:17:22.567582,-1
P5N60EMA3G,-105,56710.0,2025-07-25 11:17:21.800358,2025-07-25 11:17:21.800358,-1
P5DSMA1G,105,57115.4,2025-07-25 09:16:00.596601,2025-07-25 09:16:00.596601,1
P5N60ST1G,-105,,,,
P5N60ST2G,-105,,,,
P5DSMA2G,105,,,,
P5N60SMA5G,105,,,,
P5DSMA3G,105,,,,
P5N15EMA3N,-105,56903.8,2025-07-25 10:31:29.352240,2025-07-25 10:31:29.352240,-1
P5N60EMA1N,-105,56710.0,2025-07-25 11:17:20.983572,2025-07-25 11:17:20.983572,-1
P5N15ST7N,-105,56903.8,2025-07-25 10:31:33.630664,2025-07-25 10:31:33.630664,-1
P5N15ST8N,-105,56903.8,2025-07-25 10:31:34.926174,2025-07-25 10:31:34.926174,-1
P5N15ST4N,-105,56903.8,2025-07-25 10:31:36.186286,2025-07-25 10:31:36.186286,-1
P5N30SMA4N,-105,,,,
P560EMA1N,-105,56710.0,2025-07-25 11:17:19.325340,2025-07-25 11:17:19.325340,-1
P560SMA1N,-105,56710.0,2025-07-25 11:17:18.397640,2025-07-25 11:17:18.397640,-1
P5N60ST5N,-105,,,,
P5NDEMA8N,105,,,,
P5NDSMA2N,105,,,,
P5NDST4N,-105,,,,
P5NDSMA6N,105,,,,
P5NDEMA12G,105,,,,
P5NDEMA13N,105,,,,
